dataset,model,method,loss,ls,mixup,augmix,accuracy,ece,adaece,classece,brier
otto,mlp,platt,bsce_gra,0.0,0.0,False,0.7714932126696833,0.02631106972694397,0.026194928032701282,0.6339709989559356,0.29713823187919663
otto,mlp,isotonic,bsce_gra,0.0,0.0,False,0.7711700064641241,0.04120087996125221,0.036691718,0.6334549,0.3041948080062866
otto,mlp,bbq,bsce_gra,0.0,0.0,False,0.40142210730446026,0.026914557442069054,0.041135713,0.4769676,0.7167897820472717
otto,mlp,temperature,bsce_gra,0.1,0.0,False,0.7727860374919199,0.06721208244562149,0.07301182,0.59902143,0.31623250246047974
otto,mlp,platt,bsce_gra,0.1,0.0,False,0.7750484809308339,0.024613097310066223,0.026200282906088005,0.6504999308972346,0.29316371196529334
otto,mlp,isotonic,bsce_gra,0.1,0.0,False,0.7740788623141565,0.029112597927451134,0.029113518,0.6450948,0.3044932186603546
otto,mlp,bbq,bsce_gra,0.1,0.0,False,0.40756302521008403,0.0299515537917614,0.04433309,0.38868332,0.7250106930732727
otto,mlp,temperature,bsce_gra,0.0,0.2,False,0.764382676147382,0.06655271351337433,0.06610942,0.58072543,0.316631942987442
otto,mlp,platt,bsce_gra,0.0,0.2,False,0.7779573367808662,0.01819535531103611,0.022596312197791055,0.6512915744762396,0.3004534552857683
otto,mlp,isotonic,bsce_gra,0.0,0.2,False,0.770846800258565,0.03229212388396263,0.034422155,0.6242059,0.30779388546943665
otto,mlp,bbq,bsce_gra,0.0,0.2,False,0.38235294117647056,0.014790607616305351,0.041673645,0.36055785,0.7578911185264587
otto,mlp,temperature,bsce_gra,0.0,0.0,True,0.7737556561085973,0.075490303337574,0.07321602,0.59794664,0.31645458936691284
otto,mlp,platt,bsce_gra,0.0,0.0,True,0.7792501616031028,0.022733833640813828,0.026722058571432006,0.6466251908945407,0.291891674232687
otto,mlp,isotonic,bsce_gra,0.0,0.0,True,0.7808661926308985,0.030339766293764114,0.030293426,0.62074757,0.3012208938598633
otto,mlp,bbq,bsce_gra,0.0,0.0,True,0.39237233354880413,0.031166061758995056,0.04852376,0.4288236,0.7395087480545044
